identifier,normalizedIdentifier,lookupType,resolvedUuid,resolvedUsername,stars,nicked,cacheSource,cacheHit,revalidated,installId,responseStatus,latencyMs,requestedAt
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:55:59.346Z
d03cf293c1384ef48aad60f626468042,d03cf293c1384ef48aad60f626468042,uuid,d03cf293c1384ef48aad60f626468042,Rexioo,1346,false,cache,true,false,,200,0,2026-03-16T15:55:59.346Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:55:44.346Z
d03cf293c1384ef48aad60f626468042,d03cf293c1384ef48aad60f626468042,uuid,d03cf293c1384ef48aad60f626468042,Rexioo,1346,false,cache,true,false,,200,0,2026-03-16T15:55:44.346Z
d03cf293c1384ef48aad60f626468042,d03cf293c1384ef48aad60f626468042,uuid,d03cf293c1384ef48aad60f626468042,Rexioo,1346,false,network,false,false,,200,189,2026-03-16T15:55:19.345Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:55:19.345Z
791ba531b8bd44739d754cbdbda25548,791ba531b8bd44739d754cbdbda25548,uuid,791ba531b8bd44739d754cbdbda25548,ICEGAMING8243,4,false,network,false,false,,200,361,2026-03-16T15:54:49.346Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,network,false,false,,200,294,2026-03-16T15:54:49.346Z
791ba531b8bd44739d754cbdbda25548,791ba531b8bd44739d754cbdbda25548,uuid,791ba531b8bd44739d754cbdbda25548,ICEGAMING8243,4,false,cache,true,false,,200,0,2026-03-16T15:54:49.346Z
bc81b59cc3014b2facccc57be8cd208d,bc81b59cc3014b2facccc57be8cd208d,uuid,bc81b59cc3014b2facccc57be8cd208d,Pink_Brisk,41,false,network,false,false,,200,140,2026-03-13T16:27:55.524Z
1dabee79dd0b413ba0083dec0b23d415,1dabee79dd0b413ba0083dec0b23d415,uuid,1dabee79dd0b413ba0083dec0b23d415,BananaFlash_WGF,17,false,network,false,false,,200,240,2026-03-13T16:27:55.524Z
84fc12ead569405cb85b27195abbc15f,84fc12ead569405cb85b27195abbc15f,uuid,84fc12ead569405cb85b27195abbc15f,S0ll_,10,false,cache,true,false,,200,0,2026-03-13T16:27:55.524Z
385cf5db432341b1a55b802cd845d534,385cf5db432341b1a55b802cd845d534,uuid,385cf5db432341b1a55b802cd845d534,CrispyLink,494,false,cache,true,false,,200,0,2026-03-13T16:27:55.524Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:27:55.524Z
8613425037564f08a7e03518614a32be,8613425037564f08a7e03518614a32be,uuid,8613425037564f08a7e03518614a32be,finlayy_,16,false,network,false,false,,200,85,2026-03-13T16:27:55.524Z
64bebbb2b9794791a16cbda848037049,64bebbb2b9794791a16cbda848037049,uuid,64bebbb2b9794791a16cbda848037049,lide2502217,128,false,network,false,false,,200,142,2026-03-13T16:27:55.524Z
2574134e51ba47f99d200ffb7415ffb5,2574134e51ba47f99d200ffb7415ffb5,uuid,2574134e51ba47f99d200ffb7415ffb5,RelaxedDawn,172,false,network,false,false,,200,150,2026-03-13T16:27:55.524Z
bc81b59cc3014b2facccc57be8cd208d,bc81b59cc3014b2facccc57be8cd208d,uuid,bc81b59cc3014b2facccc57be8cd208d,Pink_Brisk,41,false,cache,true,false,,200,0,2026-03-13T16:27:55.524Z
1dabee79dd0b413ba0083dec0b23d415,1dabee79dd0b413ba0083dec0b23d415,uuid,1dabee79dd0b413ba0083dec0b23d415,BananaFlash_WGF,17,false,cache,true,false,,200,0,2026-03-13T16:27:55.524Z
59e6083aa83a4c459c9b569fa76c79b2,59e6083aa83a4c459c9b569fa76c79b2,uuid,59e6083aa83a4c459c9b569fa76c79b2,Bedonzki,52,false,network,false,false,,200,202,2026-03-13T16:21:20.517Z
67fd3e28238346338add6c9c37805253,67fd3e28238346338add6c9c37805253,uuid,67fd3e28238346338add6c9c37805253,zicrowave,38,false,network,false,false,,200,394,2026-03-13T16:21:20.517Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:21:20.517Z
